Sample	Group	Length
CbA1	Cb	457
CbA1	Cb	281
CbA1	Cb	588
CbA1	Cb	355
CbA1	Cb	1300
CbA1	Cb	558
CbA1	Cb	1377
CbA1	Cb	503
CbA1	Cb	189
CbA1	Cb	547
CbA1	Cb	288
CbA1	Cb	1312
CbA1	Cb	1110
CbA1	Cb	350
CbA1	Cb	495
CbA1	Cb	2718
CbA1	Cb	646
CbA1	Cb	377
CbA1	Cb	464
CbA1	Cb	2077
CbA1	Cb	1523
CbA1	Cb	1077
CbA1	Cb	2330
CbA1	Cb	240
CbA1	Cb	155
CbA1	Cb	579
CbA1	Cb	434
CbA1	Cb	350
CbA1	Cb	371
CbA1	Cb	176
CbA1	Cb	1339
CbA1	Cb	292
CbA1	Cb	269
CbA1	Cb	3782
CbA1	Cb	317
CbA1	Cb	690
CbA1	Cb	560
CbA1	Cb	1839
CbA1	Cb	218
CbA1	Cb	1319
CbA1	Cb	410
CbA1	Cb	426
CbA1	Cb	139
CbA1	Cb	265
CbA1	Cb	383
CbA1	Cb	366
CbA1	Cb	257
CbA1	Cb	181
CbA1	Cb	2198
CbA1	Cb	438
CbA1	Cb	369
CbA1	Cb	3608
CbA1	Cb	377
CbA1	Cb	394
CbA1	Cb	800
CbA1	Cb	384
CbA1	Cb	1625
CbA1	Cb	275
CbA1	Cb	404
CbA1	Cb	471
CbA1	Cb	398
CbA1	Cb	837
CbA1	Cb	1207
CbA1	Cb	1732
CbA1	Cb	888
CbA1	Cb	254
CbA1	Cb	136
CbA1	Cb	351
CbA1	Cb	1594
CbA1	Cb	298
CbA1	Cb	168
CbA1	Cb	322
CbA1	Cb	521
CbA1	Cb	331
CbA1	Cb	587
CbA1	Cb	304
CbA1	Cb	1404
CbA1	Cb	921
CbA1	Cb	201
CbA1	Cb	615
CbA1	Cb	404
CbA1	Cb	305
CbA1	Cb	1934
CbA1	Cb	4289
CbA1	Cb	3178
CbA1	Cb	1112
CbA1	Cb	129
CbA1	Cb	2294
CbA1	Cb	1354
CbA1	Cb	1102
CbA1	Cb	673
CbA1	Cb	154
CbA1	Cb	431
CbA1	Cb	653
CbA1	Cb	1967
CbA1	Cb	379
CbA1	Cb	327
CbA1	Cb	2793
CbA1	Cb	1169
CbA1	Cb	466
CbA1	Cb	328
CbA1	Cb	1690
CbA1	Cb	1967
CbA1	Cb	304
CbA1	Cb	1418
CbA1	Cb	209
CbA1	Cb	175
CbA1	Cb	287
CbA1	Cb	659
CbA1	Cb	248
CbA1	Cb	380
CbA1	Cb	389
CbA1	Cb	251
CbA1	Cb	481
CbA1	Cb	438
CbA1	Cb	3013
CbA1	Cb	216
CbA1	Cb	329
CbA1	Cb	395
CbA1	Cb	292
CbA1	Cb	275
CbA1	Cb	207
CbA1	Cb	706
CbA1	Cb	705
CbA1	Cb	231
CbA1	Cb	259
CbA1	Cb	2966
CbA1	Cb	222
CbA1	Cb	673
CbA1	Cb	1713
CbA1	Cb	415
CbA1	Cb	331
CbA1	Cb	352
CbA1	Cb	430
CbA1	Cb	859
CbA1	Cb	415
CbA1	Cb	235
CbA1	Cb	799
CbA1	Cb	299
CbA1	Cb	237
CbA1	Cb	265
CbA1	Cb	3029
CbA1	Cb	762
CbA1	Cb	2850
CbA1	Cb	1240
CbA1	Cb	571
CbA1	Cb	330
CbA1	Cb	320
CbA1	Cb	666
CbA1	Cb	227
CbA1	Cb	641
CbA1	Cb	2685
CbA1	Cb	434
CbA1	Cb	382
CbA1	Cb	196
CbA1	Cb	395
CbA1	Cb	798
CbA1	Cb	370
CbA1	Cb	388
CbA1	Cb	1705
CbA1	Cb	402
CbA1	Cb	445
CbA1	Cb	356
CbA1	Cb	257
CbA1	Cb	662
CbA1	Cb	807
CbA1	Cb	3659
CbA1	Cb	1018
CbA1	Cb	472
CbA1	Cb	830
CbA1	Cb	336
CbA1	Cb	572
CbA1	Cb	642
CbA1	Cb	1435
CbA1	Cb	432
CbA1	Cb	198
CbA1	Cb	445
CbA1	Cb	210
CbA1	Cb	903
CbA1	Cb	368
CbA1	Cb	555
CbA1	Cb	327
CbA1	Cb	164
CbA1	Cb	1911
CbA1	Cb	341
CbA1	Cb	332
CbA1	Cb	757
CbA1	Cb	370
CbA1	Cb	610
CbA1	Cb	369
CbA1	Cb	413
CbA1	Cb	4716
CbA1	Cb	313
CbA1	Cb	385
CbA1	Cb	310
CbA1	Cb	607
CbA1	Cb	649
CbA1	Cb	538
CbA1	Cb	703
CbA1	Cb	406
CbA1	Cb	2670
CbA1	Cb	363
CbA1	Cb	705
CbA1	Cb	442
CbA1	Cb	5605
CbA1	Cb	563
CbA1	Cb	448
CbA1	Cb	460
CbA1	Cb	99
CbA1	Cb	230
CbA1	Cb	194
CbA1	Cb	338
CbA1	Cb	457
CbA1	Cb	115
CbA1	Cb	671
CbA1	Cb	322
CbA1	Cb	175
CbA1	Cb	185
CbA1	Cb	1834
CbA1	Cb	173
CbA1	Cb	179
CbA1	Cb	535
CbA1	Cb	344
CbA1	Cb	517
CbA1	Cb	1783
CbA1	Cb	337
CbA1	Cb	488
CbA1	Cb	361
CbA1	Cb	532
CbA1	Cb	650
CbA1	Cb	716
CbA1	Cb	2519
CbA1	Cb	580
CbA1	Cb	188
CbA1	Cb	270
CbA1	Cb	722
CbA1	Cb	344
CbA1	Cb	1664
CbA1	Cb	136
CbA1	Cb	1374
CbA1	Cb	171
CbA1	Cb	135
CbA1	Cb	260
CbA1	Cb	237
CbA1	Cb	214
CbA1	Cb	365
CbA1	Cb	234
CbA1	Cb	2569
CbA1	Cb	607
CbA1	Cb	292
CbA1	Cb	676
CbA1	Cb	4874
CbA1	Cb	148
CbA1	Cb	450
CbA1	Cb	233
CbA1	Cb	723
CbA1	Cb	1533
CbA1	Cb	373
CbA1	Cb	2499
CbA1	Cb	1314
CbA1	Cb	388
CbA1	Cb	641
CbA1	Cb	213
CbA1	Cb	258
CbA1	Cb	435
CbA1	Cb	2223
CbA1	Cb	380
CbA1	Cb	247
CbA1	Cb	209
CbA1	Cb	212
CbA1	Cb	388
CbA1	Cb	271
CbA1	Cb	340
CbA1	Cb	188
CbA1	Cb	253
CbA1	Cb	2195
CbA1	Cb	191
CbA1	Cb	321
CbA1	Cb	309
CbA1	Cb	975
CbA1	Cb	416
CbA1	Cb	490
CbA1	Cb	355
CbA1	Cb	406
CbA1	Cb	133
CbA1	Cb	341
CbA1	Cb	198
CbA1	Cb	696
CbA1	Cb	210
CbA1	Cb	407
CbA1	Cb	857
CbA1	Cb	120
CbA1	Cb	398
CbA1	Cb	592
CbA1	Cb	413
CbA1	Cb	764
CbA1	Cb	331
CbA1	Cb	151
CbA1	Cb	5436
CbA1	Cb	379
CbA1	Cb	645
CbA1	Cb	2822
CbA1	Cb	288
CbA1	Cb	244
CbA1	Cb	495
CbA1	Cb	1441
CbA1	Cb	2591
CbA1	Cb	804
CbA1	Cb	1420
CbA1	Cb	727
CbA1	Cb	1485
CbA1	Cb	3154
CbA1	Cb	2197
CbA1	Cb	1206
CbA1	Cb	686
CbA1	Cb	408
CbA1	Cb	3695
CbA1	Cb	2507
CbA1	Cb	220
CbA1	Cb	925
CbA1	Cb	467
CbA1	Cb	1107
CbA1	Cb	2719
CbA1	Cb	220
CbA1	Cb	253
CbA1	Cb	391
CbA1	Cb	239
CbA1	Cb	200
CbA1	Cb	570
CbA1	Cb	666
CbA1	Cb	382
CbA1	Cb	359
CbA1	Cb	373
CbA1	Cb	724
CbA1	Cb	366
CbA1	Cb	307
CbA1	Cb	354
CbA1	Cb	218
CbA1	Cb	776
CbA1	Cb	383
CbA1	Cb	2283
CbA1	Cb	1166
CbA1	Cb	545
CbA1	Cb	229
CbA1	Cb	325
CbA1	Cb	363
CbA1	Cb	2350
CbA1	Cb	429
CbA1	Cb	243
CbA1	Cb	1899
CbA1	Cb	246
CbA1	Cb	190
CbA1	Cb	666
CbA1	Cb	142
CbA1	Cb	1852
CbA1	Cb	237
CbA1	Cb	9340
CbA1	Cb	266
CbA1	Cb	219
CbA1	Cb	410
CbA1	Cb	378
CbA1	Cb	337
CbA1	Cb	658
CbA1	Cb	561
CbA1	Cb	500
CbA1	Cb	433
CbA1	Cb	210
CbA1	Cb	225
CbA1	Cb	324
CbA1	Cb	484
CbA1	Cb	6607
CbA1	Cb	338
CbA1	Cb	842
CbA1	Cb	476
CbA1	Cb	894
CbA1	Cb	2468
CbA1	Cb	617
CbA1	Cb	536
CbA1	Cb	355
CbA1	Cb	490
CbA1	Cb	1700
CbA1	Cb	556
CbA1	Cb	356
CbA1	Cb	753
CbA1	Cb	962
CbA1	Cb	807
CbA1	Cb	806
CbA1	Cb	781
CbA1	Cb	2781
CbA1	Cb	687
CbA1	Cb	298
CbA1	Cb	337
CbA1	Cb	1917
CbA1	Cb	2379
CbA1	Cb	358
CbA1	Cb	329
CbA1	Cb	305
CbA1	Cb	534
CbA1	Cb	386
CbA1	Cb	2163
CbA1	Cb	392
CbA1	Cb	2065
CbA1	Cb	2459
CbA1	Cb	378
CbA1	Cb	235
CbA1	Cb	842
CbA1	Cb	352
CbA1	Cb	1849
CbA1	Cb	84
CbA1	Cb	217
CbA1	Cb	2445
CbA1	Cb	867
CbA1	Cb	535
CbA1	Cb	135
CbA1	Cb	244
CbA1	Cb	391
CbA1	Cb	798
CbA1	Cb	379
CbA1	Cb	507
CbA1	Cb	1320
CbA1	Cb	346
CbA1	Cb	303
CbA1	Cb	442
CbA1	Cb	386
CbA1	Cb	3114
CbA1	Cb	898
CbA1	Cb	791
CbA1	Cb	1983
CbA1	Cb	926
CbA1	Cb	2452
CbA1	Cb	642
CbA1	Cb	349
CbA1	Cb	297
CbA1	Cb	284
CbA1	Cb	359
CbA1	Cb	208
CbA1	Cb	208
CbA1	Cb	2463
CbA1	Cb	849
CbA1	Cb	219
CbA1	Cb	294
CbA1	Cb	2731
CbA1	Cb	197
CbA1	Cb	187
CbA1	Cb	638
CbA1	Cb	374
CbA1	Cb	2840
CbA1	Cb	851
CbA1	Cb	207
CbA1	Cb	662
CbA1	Cb	2524
CbA1	Cb	174
CbA1	Cb	1176
CbA1	Cb	333
CbA1	Cb	369
CbA1	Cb	3012
CbA1	Cb	201
CbA1	Cb	192
CbA1	Cb	341
CbA1	Cb	358
CbA1	Cb	323
CbA1	Cb	262
CbA1	Cb	138
CbA1	Cb	112
CbA1	Cb	200
CbA1	Cb	237
CbA1	Cb	2062
CbA1	Cb	611
CbA1	Cb	596
CbA1	Cb	1221
CbA1	Cb	192
CbA1	Cb	446
CbA1	Cb	206
CbA1	Cb	169
CbA1	Cb	127
CbA1	Cb	136
CbA1	Cb	186
CbA1	Cb	417
CbA1	Cb	338
CbA1	Cb	805
CbA1	Cb	342
CbA1	Cb	524
CbA1	Cb	226
CbA1	Cb	296
CbA1	Cb	3114
CbA1	Cb	520
CbA1	Cb	3468
CbA1	Cb	272
CbA1	Cb	424
CbA1	Cb	297
CbA1	Cb	535
CbA1	Cb	371
CbA1	Cb	576
CbA1	Cb	598
CbA1	Cb	264
CbA1	Cb	268
CbA1	Cb	774
CbA1	Cb	400
CbA1	Cb	366
CbA1	Cb	837
CbA1	Cb	262
CbA1	Cb	187
CbA1	Cb	348
CbA1	Cb	466
CbA1	Cb	595
CbA1	Cb	342
CbA1	Cb	298
CbA1	Cb	202
CbA1	Cb	348
CbA1	Cb	333
CbA1	Cb	221
CbA1	Cb	1856
CbA1	Cb	241
CbA1	Cb	432
CbA1	Cb	553
CbA1	Cb	324
CbA1	Cb	199
CbA1	Cb	345
CbA1	Cb	555
CbA1	Cb	235
CbA1	Cb	683
CbA1	Cb	194
CbA1	Cb	198
CbA1	Cb	400
CbA1	Cb	5043
CbA1	Cb	664
CbA1	Cb	383
CbA1	Cb	378
CbA1	Cb	384
CbA1	Cb	740
CbA1	Cb	521
CbA1	Cb	327
CbA1	Cb	360
CbA1	Cb	1634
CbA1	Cb	365
CbA1	Cb	317
CbA1	Cb	390
CbA1	Cb	1968
CbA1	Cb	370
CbA1	Cb	265
CbA1	Cb	250
CbA1	Cb	725
CbA1	Cb	714
CbA1	Cb	387
CbA1	Cb	438
CbA1	Cb	461
CbA1	Cb	435
CbA1	Cb	217
CbA1	Cb	356
CbA1	Cb	519
CbA1	Cb	841
CbA1	Cb	750
CbA1	Cb	507
CbA1	Cb	404
CbA1	Cb	977
CbA1	Cb	2020
CbA1	Cb	559
CbA1	Cb	170
CbA1	Cb	1517
CbA1	Cb	123
CbA1	Cb	371
CbA1	Cb	259
CbA1	Cb	276
CbA1	Cb	207
CbA1	Cb	152
CbA1	Cb	821
CbA1	Cb	930
CbA1	Cb	659
CbA1	Cb	435
CbA1	Cb	1506
CbA1	Cb	472
CbA1	Cb	310
CbA1	Cb	204
CbA1	Cb	228
CbA1	Cb	611
CbA1	Cb	659
CbA1	Cb	521
CbA1	Cb	390
CbA1	Cb	216
CbA1	Cb	2174
CbA1	Cb	389
CbA1	Cb	373
CbA1	Cb	252
CbA1	Cb	835
CbA1	Cb	248
CbA1	Cb	393
CbA1	Cb	407
CbA1	Cb	247
CbA1	Cb	206
CbA1	Cb	481
CbA1	Cb	249
CbA1	Cb	165
CbA1	Cb	191
CbA1	Cb	562
CbA1	Cb	263
CbA1	Cb	162
CbA1	Cb	594
CbA1	Cb	2878
CbA1	Cb	281
CbA1	Cb	766
CbA1	Cb	313
CbA1	Cb	364
CbA1	Cb	3990
CbA1	Cb	885
CbA1	Cb	186
CbA1	Cb	2113
CbA1	Cb	3478
CbA1	Cb	176
CbA1	Cb	470
CbA1	Cb	3040
CbA1	Cb	572
CbA1	Cb	237
CbA1	Cb	588
CbA1	Cb	416
CbA1	Cb	2674
CbA1	Cb	647
CbA1	Cb	222
CbA1	Cb	345
CbA1	Cb	582
CbA1	Cb	364
CbA1	Cb	239
CbA1	Cb	381
CbA1	Cb	260
CbA1	Cb	185
CbA1	Cb	281
CbA1	Cb	1436
CbA1	Cb	308
CbA1	Cb	2545
CbA1	Cb	771
CbA1	Cb	843
CbA1	Cb	224
CbA1	Cb	430
CbA1	Cb	768
CbA1	Cb	612
CbA1	Cb	660
CbA1	Cb	948
CbA1	Cb	1032
CbA1	Cb	222
CbA1	Cb	223
CbA1	Cb	427
CbA1	Cb	190
CbA1	Cb	218
CbA1	Cb	1045
CbA1	Cb	649
CbA1	Cb	325
CbA1	Cb	218
CbA1	Cb	827
CbA1	Cb	736
CbA1	Cb	276
CbA1	Cb	248
CbA1	Cb	230
CbA1	Cb	1836
CbA1	Cb	328
CbA1	Cb	375
CbA1	Cb	543
CbA1	Cb	252
CbA1	Cb	542
CbA1	Cb	129
CbA1	Cb	550
CbA1	Cb	1813
CbA1	Cb	282
CbA1	Cb	397
CbA1	Cb	260
CbA1	Cb	230
CbA1	Cb	639
CbA1	Cb	564
CbA1	Cb	209
CbA1	Cb	1896
CbA1	Cb	490
CbA1	Cb	139
CbA1	Cb	143
CbA1	Cb	376
CbA1	Cb	389
CbA1	Cb	505
CbA1	Cb	313
CbA1	Cb	334
CbA1	Cb	221
CbA1	Cb	2051
CbA1	Cb	524
CbA1	Cb	415
CbA1	Cb	4140
CbA1	Cb	197
CbA1	Cb	605
CbA1	Cb	1706
CbA1	Cb	269
CbA1	Cb	2126
CbA1	Cb	1604
CbA1	Cb	257
CbA1	Cb	838
CbA1	Cb	383
CbA1	Cb	2860
CbA1	Cb	409
CbA1	Cb	819
CbA1	Cb	499
CbA1	Cb	737
CbA1	Cb	1176
CbA1	Cb	173
CbA1	Cb	3076
CbA1	Cb	545
CbA1	Cb	235
CbA1	Cb	407
CbA1	Cb	308
CbA1	Cb	209
CbA1	Cb	333
CbA1	Cb	266
CbA1	Cb	492
CbA1	Cb	355
CbA1	Cb	1933
CbA1	Cb	791
CbA1	Cb	187
CbA1	Cb	467
CbA1	Cb	479
CbA1	Cb	245
CbA1	Cb	419
CbA1	Cb	358
CbA1	Cb	6829
CbA1	Cb	303
CbA1	Cb	2186
CbA1	Cb	779
CbA1	Cb	371
CbA1	Cb	214
CbA1	Cb	364
CbA1	Cb	273
CbA1	Cb	518
CbA1	Cb	562
CbA1	Cb	439
CbA1	Cb	352
CbA1	Cb	194
CbA1	Cb	1790
CbA1	Cb	361
CbA1	Cb	473
CbA1	Cb	3308
CbA1	Cb	326
CbA1	Cb	936
CbA1	Cb	173
CbA1	Cb	594
CbA1	Cb	358
CbA1	Cb	379
CbA1	Cb	232
CbA1	Cb	276
CbA1	Cb	449
CbA1	Cb	430
CbA1	Cb	863
CbA1	Cb	760
CbA1	Cb	366
CbA1	Cb	222
CbA1	Cb	2793
CbA1	Cb	389
CbA1	Cb	255
CbA1	Cb	155
CbA1	Cb	140
CbA1	Cb	242
CbA1	Cb	375
CbA1	Cb	140
CbA1	Cb	361
CbA1	Cb	363
CbA1	Cb	1195
CbA1	Cb	201
CbA1	Cb	583
CbA1	Cb	275
CbA1	Cb	263
CbA1	Cb	219
CbA1	Cb	162
CbA1	Cb	578
CbA1	Cb	294
CbA1	Cb	479
CbA1	Cb	637
CbA1	Cb	2557
CbA1	Cb	236
CbA1	Cb	3100
CbA1	Cb	177
CbA1	Cb	324
CbA1	Cb	770
CbA1	Cb	360
CbA1	Cb	322
CbA1	Cb	222
CbA1	Cb	457
CbA1	Cb	337
CbA1	Cb	1197
CbA1	Cb	785
CbA1	Cb	725
CbA1	Cb	336
CbA1	Cb	107
CbA1	Cb	290
CbA1	Cb	356
CbA1	Cb	331
CbA1	Cb	2640
CbA1	Cb	314
CbA1	Cb	624
CbA1	Cb	286
CbA1	Cb	573
CbA1	Cb	241
CbA1	Cb	1223
CbA1	Cb	362
CbA1	Cb	747
CbA1	Cb	350
CbA1	Cb	2119
CbA1	Cb	2420
CbA1	Cb	525
CbA1	Cb	752
CbA1	Cb	254
CbA1	Cb	282
CbA1	Cb	482
CbA1	Cb	281
CbA1	Cb	467
CbA1	Cb	1133
CbA1	Cb	310
CbA1	Cb	481
CbA1	Cb	682
CbA1	Cb	2012
CbA1	Cb	236
CbA1	Cb	2315
CbA1	Cb	2453
CbA1	Cb	2260
CbA1	Cb	399
CbA1	Cb	1329
CbA1	Cb	461
CbA1	Cb	2228
CbA1	Cb	354
CbA1	Cb	2655
CbA1	Cb	2832
CbA1	Cb	1041
CbA1	Cb	387
CbA1	Cb	2608
CbA1	Cb	3965
CbA1	Cb	1802
CbA1	Cb	381
CbA1	Cb	317
CbA1	Cb	425
CbA1	Cb	1072
CbA1	Cb	487
CbA1	Cb	1028
CbA1	Cb	844
CbA1	Cb	269
CbA1	Cb	4335
CbA1	Cb	408
CbA1	Cb	537
CbA1	Cb	342
CbA1	Cb	361
CbA1	Cb	509
CbA1	Cb	939
CbA1	Cb	1150
CbA1	Cb	565
CbA1	Cb	597
CbA1	Cb	195
CbA1	Cb	330
CbA1	Cb	2061
CbA1	Cb	705
CbA1	Cb	238
CbA1	Cb	1450
CbA1	Cb	296
CbA1	Cb	421
CbA1	Cb	252
CbA1	Cb	179
CbA1	Cb	3050
CbA1	Cb	1433
CbA1	Cb	511
CbA1	Cb	804
CbA1	Cb	646
CbA1	Cb	515
CbA1	Cb	319
CbA1	Cb	418
CbA1	Cb	318
CbA1	Cb	362
CbA1	Cb	493
CbA1	Cb	201
CbA1	Cb	261
CbA1	Cb	153
CbA1	Cb	1027
CbA1	Cb	368
CbA1	Cb	902
CbA1	Cb	533
CbA1	Cb	847
CbA1	Cb	399
CbA1	Cb	676
CbA1	Cb	370
CbA1	Cb	1269
CbA1	Cb	447
CbA1	Cb	292
CbA1	Cb	366
CbA1	Cb	204
CbA1	Cb	1663
CbA1	Cb	726
CbA1	Cb	421
CbA1	Cb	1584
CbA1	Cb	482
CbA1	Cb	164
CbA1	Cb	290
CbA1	Cb	249
CbA1	Cb	176
CbA1	Cb	703
CbA1	Cb	453
CbA1	Cb	468
CbA1	Cb	551
CbA1	Cb	566
CbA1	Cb	1104
CbA1	Cb	336
CbA1	Cb	588
CbA1	Cb	2388
CbA1	Cb	294
CbA1	Cb	128
CbA1	Cb	501
CbA1	Cb	427
CbA1	Cb	325
CbA1	Cb	1615
CbA1	Cb	1801
CbA1	Cb	2025
CbA1	Cb	1714
CbA1	Cb	156
CbA1	Cb	205
CbA1	Cb	304
CbA1	Cb	1802
CbA1	Cb	230
CbA1	Cb	717
CbA1	Cb	1861
CbA1	Cb	285
CbA1	Cb	6818
CbA1	Cb	142
CbA1	Cb	402
CbA1	Cb	213
CbA1	Cb	108
CbA1	Cb	351
CbA1	Cb	359
CbA1	Cb	370
CbA1	Cb	293
CbA1	Cb	312
CbA1	Cb	686
CbA1	Cb	416
CbA1	Cb	2575
CbA1	Cb	145
CbA1	Cb	461
CbA1	Cb	92
CbA1	Cb	2586
CbA1	Cb	863
CbA1	Cb	949
CbA1	Cb	537
CbA1	Cb	2111
CbA1	Cb	1033
CbA1	Cb	703
CbA1	Cb	236
CbA1	Cb	239
CbA1	Cb	256
CbA1	Cb	247
CbA1	Cb	368
CbA1	Cb	692
CbA1	Cb	514
CbA1	Cb	527
CbA1	Cb	233
CbA1	Cb	440
CbA1	Cb	337
CbA1	Cb	768
CbA1	Cb	393
CbA1	Cb	397
CbA1	Cb	404
CbA1	Cb	375
CbA1	Cb	208
CbA1	Cb	492
CbA1	Cb	544
CbA1	Cb	766
CbA1	Cb	303
CbA1	Cb	135
CbA1	Cb	520
CbA1	Cb	571
CbA1	Cb	347
CbA1	Cb	378
CbA1	Cb	334
CbA1	Cb	185
CbA1	Cb	597
CbA1	Cb	212
