Sample	Group	Length
CbA1	Cb	716
CbA1	Cb	223
CbA1	Cb	1353
CbA1	Cb	2293
CbA1	Cb	348
CbA1	Cb	280
CbA1	Cb	353
CbA1	Cb	346
CbA1	Cb	759
CbA1	Cb	4054
CbA1	Cb	4311
CbA1	Cb	609
CbA1	Cb	2548
CbA1	Cb	2305
CbA1	Cb	2786
CbA1	Cb	1094
CbA1	Cb	492
CbA1	Cb	246
CbA1	Cb	2729
CbA1	Cb	1235
CbA1	Cb	469
CbA1	Cb	638
CbA1	Cb	365
CbA1	Cb	2180
CbA1	Cb	555
CbA1	Cb	470
CbA1	Cb	373
CbA1	Cb	1462
CbA1	Cb	597
CbA1	Cb	3676
