Sample	Type	Group	Mean_Coverage	Mean_Mapping_Quality	Median_insert_size	GC_Percentage(%)	Duplication_rate(%)	Clipped_reads(%)	Mapped_reads(%)	General_error_rate(%)
OBY3	OB	Young	6.5997	47.19	293	43.27	35.55	29.47	98.03	0.23
OBY4	OB	Young	5.3884	47.35	294	42.67	24.99	29.98	99.56	0.34
OBY5	OB	Young	5.8187	47.72	322	42.38	25.38	26.77	99.58	0.26
OBY6	OB	Young	5.4457	47.53	303	42.78	37.81	31.03	99.35	0.24
OBY7	OB	Young	5.9855	47.43	291	42.32	31.92	27.85	99.59	0.24
PFCA1	mPFC	Aged	3.5892	41.85	253	45.78	47.82	35.18	76.21	0.35
PFCA2	mPFC	Aged	5.2821	46.95	310	41.71	36.47	28.54	92.63	0.26
PFCA3	mPFC	Aged	5.2913	46.87	315	42.59	43.01	30.38	90.98	0.34
PFCA4	mPFC	Aged	4.6919	46.77	288	42.58	45.84	31.97	90.04	0.29
PFCA5	mPFC	Aged	4.6405	45.85	264	43.84	53.38	38.05	83.01	0.25
PFCA6	mPFC	Aged	5.7144	48.48	326	40.96	18.11	21.88	98.53	0.23
PFCA7	mPFC	Aged	5.2723	47.46	316	40.77	41.09	25.66	96.92	0.19
PFCY1	mPFC	Young	5.1378	45.13	295	44.99	32.92	30.13	93.61	0.21
PFCY2	mPFC	Young	8.4002	47.04	293	42.69	50.53	33.13	95.25	0.18
PFCY3	mPFC	Young	6.9409	45.97	301	44.95	53.49	30.91	92.33	0.21
PFCY4	mPFC	Young	5.3467	46.29	298	43.42	51.47	35.42	97.33	0.19
PFCY5	mPFC	Young	4.3642	44.98	298	45.17	54.06	33.3	92.88	0.24
PFCY6	mPFC	Young	5.1368	45.99	285	45.13	54.43	36.77	94.6	0.2
PFCY7	mPFC	Young	4.9013	46.94	318	41.87	49.57	31.29	96.98	0.17
