Sample	Group	Status	Type	Coverage
CpuY3	CPu	Young	Exon	1.9477
CpuY3	CPu	Young	Gene2KD	1.3406
CpuY3	CPu	Young	Gene2KU	1.3811
CpuY3	CPu	Young	Intron	1.2192
NAcY3	NAc	Young	3UTR	2.1857
NAcY3	NAc	Young	5UTR	2.8038
NAcY3	NAc	Young	CpG	2.9237
NAcY3	NAc	Young	Exon	2.5301
NAcY3	NAc	Young	Gene2KD	1.514
NAcY3	NAc	Young	Gene2KU	1.554
NAcY3	NAc	Young	Intron	1.2321
OBY3	OB	Young	3UTR	1.7619
OBY3	OB	Young	5UTR	1.983
OBY3	OB	Young	CpG	1.2823
OBY3	OB	Young	Exon	1.9008
OBY3	OB	Young	Gene2KD	1.3135
OBY3	OB	Young	Gene2KU	1.2847
OBY3	OB	Young	Intron	1.1864
NAcY6	NAc	Young	3UTR	2.1622
NAcY6	NAc	Young	5UTR	2.3967
NAcY6	NAc	Young	CpG	1.8465
NAcY6	NAc	Young	Exon	2.3253
NAcY6	NAc	Young	Gene2KD	1.4281
NAcY6	NAc	Young	Gene2KU	1.4293
NAcY6	NAc	Young	Intron	1.2321
NAcY2	NAc	Young	3UTR	2.1818
NAcY2	NAc	Young	5UTR	2.5675
NAcY2	NAc	Young	CpG	2.3595
NAcY2	NAc	Young	Exon	2.4
NAcY2	NAc	Young	Gene2KD	1.5155
NAcY2	NAc	Young	Gene2KU	1.5407
NAcY2	NAc	Young	Intron	1.2443
